batch,batchName,wavelength,strain,drug,mic,blankMean,controlMean,curveFlag,replicateCount
0528_0529,0528-0529 OD600,OD600,1801161205,ATM,>64,-0.0079,0.6918,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,CRO,>64,-0.0076,0.6918,noisy,3
0528_0529,0528-0529 OD600,OD600,1801161205,MEM,16,-0.0081,0.6918,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,LVX,>8,-0.0063,0.6918,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,AMK,8,-0.0042,0.6918,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,POL,4,-0.0039,0.6918,noisy,3
0528_0529,0528-0529 OD600,OD600,1801161205,TGC,2,0.0001,0.6918,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,SXT,>16/304,-0.0080,0.8093,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,CAZ-AVI,64/4,-0.0076,0.8093,ok,3
0528_0529,0528-0529 OD600,OD600,1801161205,ATM-AVI,>64/4,-0.0060,0.8093,ok,3
0528_0529,0528-0529 OD600,OD600,1802041026,ATM,>64,-0.0080,0.5790,noisy,3
0528_0529,0528-0529 OD600,OD600,1802041026,CRO,>64,-0.0075,0.5790,noisy,3
0528_0529,0528-0529 OD600,OD600,1802041026,MEM,>16,-0.0077,0.5790,noisy,3
0528_0529,0528-0529 OD600,OD600,1802041026,LVX,>8,-0.0069,0.5790,noisy,3
0528_0529,0528-0529 OD600,OD600,1802041026,AMK,>64,-0.0056,0.5790,ok,3
0528_0529,0528-0529 OD600,OD600,1802041026,POL,2,-0.0049,0.5790,ok,3
0528_0529,0528-0529 OD600,OD600,1802041026,TGC,2,-0.0002,0.5790,noisy,3
0528_0529,0528-0529 OD600,OD600,1802041026,SXT,>16/304,-0.0059,0.6520,ok,3
0528_0529,0528-0529 OD600,OD600,1802041026,CAZ-AVI,>128/4,-0.0061,0.6520,ok,3
0528_0529,0528-0529 OD600,OD600,1802041026,ATM-AVI,>64/4,-0.0049,0.6520,noisy,3
0528_0529,0528-0529 OD600,OD600,1803271274,ATM,64,-0.0079,0.5554,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,CRO,0.25,-0.0083,0.5554,noisy,3
0528_0529,0528-0529 OD600,OD600,1803271274,MEM,16,-0.0073,0.5554,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,LVX,4,-0.0064,0.5554,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,AMK,16,-0.0051,0.5554,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,POL,2,-0.0049,0.5554,noisy,3
0528_0529,0528-0529 OD600,OD600,1803271274,TGC,2,-0.0013,0.5554,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,SXT,>16/304,-0.0060,0.5928,ok,3
0528_0529,0528-0529 OD600,OD600,1803271274,CAZ-AVI,64/4,-0.0065,0.5928,noisy,3
0528_0529,0528-0529 OD600,OD600,1803271274,ATM-AVI,>64/4,-0.0039,0.5928,noisy,3
0528_0529,0528-0529 OD600,OD600,1803291238,ATM,>64,-0.0079,0.7104,noisy,3
0528_0529,0528-0529 OD600,OD600,1803291238,CRO,1,-0.0083,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,MEM,16,-0.0077,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,LVX,8,-0.0070,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,AMK,8,-0.0050,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,POL,2,-0.0044,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,TGC,0.5,-0.0009,0.7104,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,SXT,>16/304,-0.0079,0.6125,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,CAZ-AVI,64/4,-0.0066,0.6125,ok,3
0528_0529,0528-0529 OD600,OD600,1803291238,ATM-AVI,>64/4,-0.0051,0.6125,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,ATM,64,-0.0083,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,CRO,0.5,-0.0080,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,MEM,4,-0.0072,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,LVX,8,-0.0057,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,AMK,8,-0.0046,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,POL,2,-0.0041,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,TGC,2,0.0021,0.6152,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,SXT,>16/304,-0.0079,0.3407,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,CAZ-AVI,>128/4,-0.0072,0.3407,ok,3
0528_0529,0528-0529 OD600,OD600,1804043044,ATM-AVI,>64/4,-0.0055,0.3407,noisy,3
0528_0529,0528-0529 OD600,OD600,1806081002,ATM,32,-0.0076,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,CRO,0.5,-0.0080,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,MEM,8,-0.0075,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,LVX,4,-0.0064,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,AMK,4,-0.0054,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,POL,2,-0.0047,0.6417,noisy,3
0528_0529,0528-0529 OD600,OD600,1806081002,TGC,2,0.0016,0.6417,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,SXT,>16/304,-0.0060,0.6536,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,CAZ-AVI,>128/4,-0.0054,0.6536,ok,3
0528_0529,0528-0529 OD600,OD600,1806081002,ATM-AVI,>64/4,-0.0046,0.6536,noisy,3
0528_0529,0528-0529 OD600,OD600,1806231180,ATM,>64,-0.0084,0.5815,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,CRO,4,-0.0083,0.5815,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,MEM,0.64,-0.0082,0.5815,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,LVX,>8,-0.0069,0.5815,noisy,3
0528_0529,0528-0529 OD600,OD600,1806231180,AMK,4,-0.0050,0.5815,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,POL,2,-0.0047,0.5815,noisy,3
0528_0529,0528-0529 OD600,OD600,1806231180,TGC,2,0.0003,0.5815,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,SXT,>16/304,0.0044,0.4730,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,CAZ-AVI,<=0.128/4,-0.0052,0.4730,ok,3
0528_0529,0528-0529 OD600,OD600,1806231180,ATM-AVI,<=0.064/4,-0.0036,0.4730,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,ATM,64,-0.0014,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,CRO,0.125,-0.0003,0.5610,noisy,3
0528_0529,0528-0529 OD600,OD600,1809281182,MEM,4,-0.0000,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,LVX,2,0.0136,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,AMK,8,0.0041,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,POL,8,0.0497,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,TGC,1,0.0095,0.5610,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,SXT,16/304,-0.0074,0.5515,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,CAZ-AVI,0.25/4,-0.0063,0.5515,ok,3
0528_0529,0528-0529 OD600,OD600,1809281182,ATM-AVI,1/4,-0.0043,0.5515,noisy,3
0528_0529,0528-0529 OD600,OD600,1812121256,ATM,>64,-0.0084,0.7177,noisy,3
0528_0529,0528-0529 OD600,OD600,1812121256,CRO,32,-0.0083,0.7177,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,MEM,8,-0.0082,0.7177,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,LVX,>8,-0.0064,0.7177,noisy,3
0528_0529,0528-0529 OD600,OD600,1812121256,AMK,32,-0.0041,0.7177,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,POL,2,-0.0038,0.7177,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,TGC,8,-0.0002,0.7177,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,SXT,>16/304,-0.0072,0.4716,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,CAZ-AVI,64/4,-0.0072,0.4716,ok,3
0528_0529,0528-0529 OD600,OD600,1812121256,ATM-AVI,>64/4,-0.0055,0.4716,ok,3
0528_0529,0528-0529 OD600,OD600,1812281196,ATM,<=0.064,0.2424,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,CRO,<=0.064,0.2615,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,MEM,16,0.2712,0.6213,ok,3
0528_0529,0528-0529 OD600,OD600,1812281196,LVX,>8,0.2709,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,AMK,8,0.2756,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,POL,4,0.2414,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,TGC,2,0.0824,0.6213,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,SXT,>16/304,-0.0082,0.8661,ok,3
0528_0529,0528-0529 OD600,OD600,1812281196,CAZ-AVI,64/4,-0.0079,0.8661,noisy,3
0528_0529,0528-0529 OD600,OD600,1812281196,ATM-AVI,>64/4,-0.0063,0.8661,noisy,3
