batch,batchName,wavelength,strain,drug,mic,blankMean,controlMean,curveFlag,replicateCount
0611,0611 OD630,OD630,1806171130,ATM,>64,0.0709,0.5985,noisy,3
0611,0611 OD630,OD630,1806171130,CRO,>64,0.0709,0.5985,noisy,3
0611,0611 OD630,OD630,1806171130,MEM,>16,0.0709,0.5985,noisy,3
0611,0611 OD630,OD630,1806171130,LVX,>8,0.0709,0.5985,noisy,3
0611,0611 OD630,OD630,1806171130,AMK,>64,0.0709,0.5985,noisy,3
0611,0611 OD630,OD630,1806171130,POL,4,0.0709,0.5985,ok,3
0611,0611 OD630,OD630,1806171130,TGC,1,0.0709,0.5985,ok,3
0611,0611 OD630,OD630,1806171130,SXT,>16/304,0.0667,0.3900,ok,3
0611,0611 OD630,OD630,1806171130,CAZ-AVI,128/4,0.0667,0.3900,ok,3
0611,0611 OD630,OD630,1806171130,ATM-AVI,>64/4,0.0667,0.3900,noisy,3
0611,0611 OD630,OD630,1807161114,ATM,<=0.064,0.2304,0.5601,noisy,3
0611,0611 OD630,OD630,1807161114,CRO,<=0.064,0.2304,0.5601,ok,3
0611,0611 OD630,OD630,1807161114,MEM,1,0.2304,0.5601,ok,3
0611,0611 OD630,OD630,1807161114,LVX,1,0.2304,0.5601,ok,3
0611,0611 OD630,OD630,1807161114,AMK,4,0.2304,0.5601,ok,3
0611,0611 OD630,OD630,1807161114,POL,2,0.2304,0.5601,ok,3
0611,0611 OD630,OD630,1807161114,TGC,2,0.2304,0.5601,noisy,3
0611,0611 OD630,OD630,1807161114,SXT,>16/304,0.0652,0.7388,ok,3
0611,0611 OD630,OD630,1807161114,CAZ-AVI,32/4,0.0652,0.7388,ok,3
0611,0611 OD630,OD630,1807161114,ATM-AVI,>64/4,0.0652,0.7388,noisy,3
0611,0611 OD630,OD630,1811283089,ATM,>64,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,CRO,>64,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,MEM,>16,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,LVX,>8,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,AMK,>64,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,POL,2,0.0662,0.6992,noisy,3
0611,0611 OD630,OD630,1811283089,TGC,2,0.0662,0.6992,ok,3
0611,0611 OD630,OD630,1811283089,SXT,>16/304,0.0647,0.6867,ok,3
0611,0611 OD630,OD630,1811283089,CAZ-AVI,>128/4,0.0647,0.6867,noisy,3
0611,0611 OD630,OD630,1811283089,ATM-AVI,>64/4,0.0647,0.6867,ok,3
0611,0611 OD630,OD630,1910181330,ATM,64,0.0667,0.5468,noisy,3
0611,0611 OD630,OD630,1910181330,CRO,0.25,0.0667,0.5468,ok,3
0611,0611 OD630,OD630,1910181330,MEM,8,0.0667,0.5468,ok,3
0611,0611 OD630,OD630,1910181330,LVX,4,0.0667,0.5468,ok,3
0611,0611 OD630,OD630,1910181330,AMK,8,0.0667,0.5468,ok,3
0611,0611 OD630,OD630,1910181330,POL,4,0.0667,0.5468,noisy,3
0611,0611 OD630,OD630,1910181330,TGC,2,0.0667,0.5468,ok,3
0611,0611 OD630,OD630,1910181330,SXT,>16/304,0.0670,0.5620,ok,3
0611,0611 OD630,OD630,1910181330,CAZ-AVI,64/4,0.0670,0.5620,noisy,3
0611,0611 OD630,OD630,1910181330,ATM-AVI,>64/4,0.0670,0.5620,ok,3
0611,0611 OD630,OD630,1911071092,ATM,>64,0.0634,0.7336,ok,3
0611,0611 OD630,OD630,1911071092,CRO,>64,0.0634,0.7336,noisy,3
0611,0611 OD630,OD630,1911071092,MEM,16,0.0634,0.7336,ok,3
0611,0611 OD630,OD630,1911071092,LVX,>8,0.0634,0.7336,ok,3
0611,0611 OD630,OD630,1911071092,AMK,>64,0.0634,0.7336,noisy,3
0611,0611 OD630,OD630,1911071092,POL,2,0.0634,0.7336,ok,3
0611,0611 OD630,OD630,1911071092,TGC,2,0.0634,0.7336,ok,3
0611,0611 OD630,OD630,1911071092,SXT,>16/304,0.0587,0.3945,noisy,3
0611,0611 OD630,OD630,1911071092,CAZ-AVI,128/4,0.0587,0.3945,ok,3
0611,0611 OD630,OD630,1911071092,ATM-AVI,>64/4,0.0587,0.3945,ok,3
